candidate,top_n,momentum_threshold,pool_test,invest_pool,pool_size,final_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,max_dd_start,max_dd_end,cash_ratio,avg_holding_count,avg_holding_count_when_invested,rebalance_days,total_cost_rate
Top3_4.00,3,0.04,without_kc50,"hs300,zz500,cyb,securities,consumer,medicine,new_energy,dividend",8,1.589885602913627,0.589885602913627,0.07829649648733761,0.1451485924687262,0.539423050238723,-0.2027018111853912,0.3862644148538346,2021-07-22,2024-10-17,0.7612903225806451,0.5309677419354839,2.2243243243243245,27,0.029231014508024674
Top3_4.00,3,0.04,without_new_energy,"hs300,zz500,cyb,kc50,securities,consumer,medicine,dividend",8,1.5348619082709651,0.5348619082709651,0.07213942955721886,0.15680187626434133,0.46006738743102815,-0.1950260429687466,0.3698963915746339,2021-07-12,2024-10-17,0.7361290322580645,0.5148387096774194,1.9511002444987775,29,0.03259217998132829
Top3_4.00,3,0.04,without_growth_group,"hs300,zz500,consumer,medicine,dividend",5,1.0439846134921371,0.043984613492137115,0.007022788369350552,0.1014653357060503,0.06921367105802409,-0.16938458070603557,0.04146061194046049,2026-01-23,2026-03-23,0.8393548387096774,0.2670967741935484,1.6626506024096386,20,0.02166530037260715
Top3_4.00,3,0.04,broad_plus_dividend,"hs300,zz500,dividend",3,0.9018236942594675,-0.09817630574053249,-0.01666013148839296,0.07810157318974977,-0.21331364795836757,-0.16938458070603513,-0.09835683637170266,2026-01-23,2026-03-23,0.8909677419354839,0.16129032258064516,1.4792899408284024,15,0.01530121694890078
Top3_4.00,3,0.04,no_sector_etf,"hs300,zz500,dividend",3,0.9018236942594675,-0.09817630574053249,-0.01666013148839296,0.07810157318974977,-0.21331364795836757,-0.16938458070603513,-0.09835683637170266,2026-01-23,2026-03-23,0.8909677419354839,0.16129032258064516,1.4792899408284024,15,0.01530121694890078
Top3_4.00,3,0.04,broad_index_only,"hs300,zz500",2,0.8712294047621721,-0.12877059523782786,-0.02216245755741697,0.07843846615280387,-0.2825457794424853,-0.16938458070603502,-0.1308410568721108,2026-01-23,2026-03-23,0.9058064516129032,0.12,1.273972602739726,13,0.012967647949171764
Top4_3.75,4,0.0375,without_consumer,"hs300,zz500,cyb,kc50,securities,medicine,new_energy,dividend",8,1.9015118024453945,0.9015118024453945,0.11013577818859366,0.16091390902295008,0.6844391442438064,-0.1701478363542176,0.6472946147802345,2024-10-08,2024-10-17,0.7361290322580645,0.687741935483871,2.606356968215159,29,0.030762194494314138
Top4_3.75,4,0.0375,without_defensive_group,"hs300,zz500,cyb,kc50,securities,new_energy",6,1.8512325042023599,0.8512325042023599,0.10530968791912398,0.16352495421265842,0.6439976603336789,-0.17014783635421749,0.6189305146372122,2024-10-08,2024-10-17,0.7645161290322581,0.6193548387096774,2.6301369863013697,27,0.027428861160980807
Top4_3.75,4,0.0375,without_hs300,"zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.8358992050893492,0.8358992050893492,0.10381607288534789,0.1602799436063128,0.6477171787653347,-0.17708505012626208,0.5862497868189708,2024-10-08,2024-10-17,0.7361290322580645,0.6993548387096774,2.650366748166259,29,0.03141964262772807
Top4_3.75,4,0.0375,without_securities,"hs300,zz500,cyb,kc50,consumer,medicine,new_energy,dividend",8,1.8347804251722515,0.8347804251722515,0.1037066842447778,0.15800638010103682,0.6563449158094933,-0.1904798540685898,0.5444496204172548,2023-02-01,2024-10-17,0.7361290322580645,0.6709677419354839,2.54278728606357,29,0.03048103103011958
Top4_3.75,4,0.0375,without_medicine,"hs300,zz500,cyb,kc50,securities,consumer,new_energy,dividend",8,1.8302896504856947,0.8302896504856947,0.10326703614615007,0.16179914266974324,0.6382421713873594,-0.1770850501262622,0.5831493741144177,2024-10-08,2024-10-17,0.7496774193548387,0.6883870967741935,2.75,29,0.029919642627728067
Top4_3.75,4,0.0375,full_pool,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",9,1.8146069488494199,0.8146069488494199,0.10172457561140025,0.1591561130361055,0.6391496604866408,-0.1770850501262623,0.574439093186411,2024-10-08,2024-10-17,0.7361290322580645,0.7270967741935483,2.7555012224938875,29,0.031419642627728075
Top4_3.75,4,0.0375,without_cyb,"hs300,zz500,kc50,securities,consumer,medicine,new_energy,dividend",8,1.7450336309782721,0.7450336309782721,0.09474411190744059,0.14827634311756727,0.6389698445173998,-0.16405501504215658,0.5775142679002806,2023-02-01,2024-10-17,0.747741935483871,0.6116129032258064,2.424552429667519,28,0.0298776037841444
Top4_3.75,4,0.0375,without_dividend,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy",8,1.738264541015827,0.7382645410158271,0.09405257648323984,0.15842561247817694,0.593670272199172,-0.17880776776781115,0.5259982698591191,2023-02-01,2024-10-17,0.7509677419354839,0.6974193548387096,2.800518134715026,28,0.029419642627728067
Top4_3.75,4,0.0375,without_zz500,"hs300,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.6256186570462585,0.6256186570462585,0.08220005662285357,0.15818449750246796,0.5196467284764811,-0.18962476126650452,0.4334879900380049,2023-02-01,2024-10-17,0.7490322580645161,0.6741935483870968,2.6863753213367607,27,0.028460621134358488
Top4_3.75,4,0.0375,without_kc50,"hs300,zz500,cyb,securities,consumer,medicine,new_energy,dividend",8,1.5735562227613924,0.5735562227613924,0.07648813056775317,0.13955742439346822,0.5480763986593972,-0.18834550659094296,0.4061054173905696,2021-07-22,2024-10-17,0.7612903225806451,0.6225806451612903,2.608108108108108,27,0.02920491489264596
Top4_3.75,4,0.0375,without_new_energy,"hs300,zz500,cyb,kc50,securities,consumer,medicine,dividend",8,1.5272595857286588,0.5272595857286588,0.07127426327489106,0.15785790718062223,0.4515089839201941,-0.17708505012626208,0.40248605528288434,2024-10-08,2024-10-17,0.7361290322580645,0.6219354838709678,2.356968215158924,29,0.03193628961982053
Top4_3.75,4,0.0375,without_growth_group,"hs300,zz500,consumer,medicine,dividend",5,1.04458276064475,0.044582760644749975,0.007116570030355263,0.1002419228159947,0.07099394974115297,-0.16938458070603524,0.042014273086084374,2026-01-23,2026-03-23,0.8264516129032258,0.30451612903225805,1.754646840148699,22,0.023995579168223473
Top4_3.75,4,0.0375,broad_plus_dividend,"hs300,zz500,dividend",3,0.9185316865569416,-0.08146831344305838,-0.013720918794205894,0.08332495575766782,-0.16466757971177504,-0.16938458070603557,-0.08100453262636902,2026-01-23,2026-03-23,0.8651612903225806,0.1870967741935484,1.38755980861244,19,0.01930121694890078
Top4_3.75,4,0.0375,no_sector_etf,"hs300,zz500,dividend",3,0.9185316865569416,-0.08146831344305838,-0.013720918794205894,0.08332495575766782,-0.16466757971177504,-0.16938458070603557,-0.08100453262636902,2026-01-23,2026-03-23,0.8651612903225806,0.1870967741935484,1.38755980861244,19,0.01930121694890078
Top4_3.75,4,0.0375,broad_index_only,"hs300,zz500",2,0.8873705798907027,-0.11262942010929733,-0.019239691370838585,0.08364196103557496,-0.2300243936492053,-0.18907952824451302,-0.10175449214130833,2021-01-12,2026-03-23,0.88,0.14580645161290323,1.2150537634408602,17,0.016967647949171768
Top4_4.00,4,0.04,without_consumer,"hs300,zz500,cyb,kc50,securities,medicine,new_energy,dividend",8,1.974846211665951,0.9748462116659511,0.11698667309719801,0.16297517170549,0.7178189896839188,-0.17014783635421737,0.6875589816708141,2024-10-08,2024-10-17,0.7361290322580645,0.6348387096774194,2.4058679706601467,29,0.030931055099916165
Top4_4.00,4,0.04,without_defensive_group,"hs300,zz500,cyb,kc50,securities,new_energy",6,1.9226278233641911,0.9226278233641911,0.11213079995080033,0.16555441781934355,0.6773047885267538,-0.17391209245764072,0.644755625478497,2023-02-01,2024-10-17,0.7645161290322581,0.5664516129032258,2.4054794520547946,27,0.027597721766582834
